,time_AU,CFFval
0,0,5.721760077844728e-19
1,35,5.689700311891385e-19
2,70,5.595293903612827e-19
3,105,5.443635145787983e-19
4,140,5.2425164004349455e-19
5,175,5.00153837708863e-19
6,210,4.731126828229575e-19
7,245,4.441619268089123e-19
8,280,4.142538760908877e-19
9,315,3.842109966301005e-19
10,350,3.5470163182148204e-19
11,385,3.262358869169277e-19
12,420,2.9917597196943014e-19
13,455,2.737552124854589e-19
14,490,2.501008731316041e-19
15,525,2.2825727968114053e-19
16,560,2.082070418213064e-19
17,595,1.898892532446408e-19
18,630,1.7321430936538114e-19
19,665,1.5807546147358744e-19
20,700,1.4435748216561494e-19
21,735,1.3194291933286934e-19
22,770,1.207164235702488e-19
23,805,1.1056759010015829e-19
24,840,1.0139269024671764e-19
25,875,9.309559672826632e-20
26,910,8.558814106501028e-20
27,945,7.879008449574784e-20
28,980,7.262883713742805e-20
29,1015,6.703902321759583e-20
30,1050,6.1961961817763e-20
31,1085,5.734511120688139e-20
32,1120,5.314150908394183e-20
33,1155,4.9309229624526073e-20
34,1190,4.581087008911401e-20
35,1225,4.2613074062405074e-20
36,1260,3.968609450036055e-20
37,1295,3.7003397168966805e-20
38,1330,3.4541303392624365e-20
39,1365,3.227867001647775e-20
40,1400,3.019660392444232e-20
41,1435,2.8278208198396154e-20
42,1470,2.6508356950302132e-20
43,1505,2.48734959348456e-20
44,1540,2.336146620427348e-20
45,1575,2.1961348264763684e-20
46,1610,2.066332441090016e-20
47,1645,1.9458557136206856e-20
48,1680,1.8339081733419206e-20
49,1715,1.7297711402199346e-20
50,1750,1.6327953370953282e-20
51,1785,1.542393471206564e-20
52,1820,1.458033668569977e-20
53,1855,1.3792336586935168e-20
54,1890,1.3055556195192656e-20
55,1925,1.2366016035061267e-20
56,1960,1.1720094754559804e-20
57,1995,1.1114493012455116e-20
58,2030,1.054620134118993e-20
59,2100,9.510791031989928e-21
60,2170,8.59457226050156e-21
61,2240,7.781351424013589e-21
62,2310,7.057476378597854e-21
63,2380,6.411389124160479e-21
64,2450,5.833264681394055e-21
65,2520,5.3147182902711075e-21
66,2590,4.8485669926820025e-21
67,2660,4.428634687265845e-21
68,2730,4.049592079329225e-21
69,2800,3.70682475675541e-21
70,2870,3.3963240275971816e-21
71,2940,3.114596251293021e-21
72,3010,2.858587254237633e-21
73,3080,2.625619095533549e-21
74,3150,2.4133369814619448e-21
75,3220,2.219664549541115e-21
76,3290,2.042766079129801e-21
77,3360,1.881014453755221e-21
78,3430,1.732963915214455e-21
79,3500,1.5973268224931629e-21
80,3570,1.4729537683529369e-21
81,3640,1.3588165194543086e-21
82,3710,1.2539933377674937e-21
83,3780,1.1576563160805033e-21
84,3850,1.0690604219316918e-21
85,3920,9.875339945158021e-22
86,3990,9.124704805938504e-22
87,4060,8.433212297152474e-22
88,4130,7.7958919752349215e-22
89,4200,7.208234293921614e-22
90,4270,6.6661421616947215e-22
91,4340,6.165888303325923e-22
92,4410,5.704077645558769e-22
93,4480,5.277614061241209e-22
94,4550,4.8836709032098415e-22
95,4620,4.519664840976384e-22
96,4690,4.183232582886762e-22
97,4760,3.872210123817124e-22
98,4830,3.584614208202508e-22
99,4900,3.318625740794075e-22
100,4970,3.07257491392038e-22
101,5040,2.8449278493934474e-22
102,5110,2.6342745804374947e-22
103,5180,2.4393182214442107e-22
104,5250,2.2588651929169346e-22
105,5320,2.0918163848884248e-22
106,5390,1.9371591570714562e-22
107,5460,1.7939600864640384e-22
108,5530,1.6613583838126877e-22
109,5600,1.538559909274804e-22
110,5670,1.4248317260810354e-22
111,5740,1.3194971382918482e-22
112,5810,1.2219311644995651e-22
113,5880,1.1315564046206384e-22
114,5950,1.0478392619719872e-22
115,6020,9.702864868729981e-23
116,6090,8.984420116395482e-23
117,6160,8.318840496997931e-23
118,6230,7.702224347391398e-23
119,6300,7.130961783154487e-23
120,6370,6.601712264121413e-23
121,6440,6.111383970963054e-23
122,6510,5.657114836387013e-23
123,6580,5.236255089101887e-23
124,6650,4.8463511797127254e-23
125,6720,4.485130970772045e-23
126,6790,4.1504900856874506e-23
127,6860,3.8404793215603093e-23
128,6930,3.553293036333e-23
129,7000,3.287258430232554e-23
130,7070,3.040825650321462e-23
131,7140,2.8125586521449964e-23
132,7210,2.6011267563717602e-23
133,7280,2.4052968452158976e-23
134,7350,2.2239261498539283e-23
135,7420,2.0559555812192108e-23
136,7490,1.900403561570549e-23
137,7560,1.756360317990141e-23
138,7630,1.6229826024868232e-23
139,7700,1.4994888066408833e-23
