,time_AU,CFFval
0,0,1.164714966514074e-23
1,35,1.1612753610263273e-23
2,70,1.15105715949362e-23
3,105,1.1343554077396137e-23
4,140,1.1116400010558292e-23
5,175,1.0835256157356617e-23
6,210,1.0507345154226985e-23
7,245,1.01405608947102e-23
8,280,9.743068821157577e-24
9,315,9.322942797759276e-24
10,350,8.88786119547823e-24
11,385,8.444874683895821e-24
12,420,8.000248767603372e-24
13,455,7.55937652968281e-24
14,490,7.126751906421908e-24
15,525,6.705991111124124e-24
16,560,6.299889169228525e-24
17,595,5.910499360308574e-24
18,630,5.5392251028519365e-24
19,665,5.186915965020977e-24
20,700,4.853961667430477e-24
21,735,4.540379924588694e-24
22,770,4.2458956265227785e-24
23,805,3.970010152479219e-24
24,840,3.712060550706183e-24
25,875,3.471268958534645e-24
26,910,3.246783033651318e-24
27,945,3.0377083791967423e-24
28,980,2.843134024479026e-24
29,1015,2.6621520129172024e-24
30,1050,2.493872082968308e-24
31,1085,2.33743233113052e-24
32,1120,2.192006636137057e-24
33,1155,2.0568095117812754e-24
34,1190,1.931098949655893e-24
35,1225,1.81417771645836e-24
36,1260,1.7053934852309153e-24
37,1295,1.6041381063944326e-24
38,1330,1.50984626221272e-24
39,1365,1.4219936964895484e-24
40,1400,1.3400951686792839e-24
41,1435,1.2637022469657151e-24
42,1470,1.1924010270241063e-24
43,1505,1.1258098410076368e-24
44,1540,1.0635770037781651e-24
45,1575,1.0053786296724083e-24
46,1610,9.509165424272452e-25
47,1645,8.999162926872668e-25
48,1680,8.521252913041631e-25
49,1715,8.073110620063325e-25
50,1750,7.652596136264334e-25
51,1785,7.257739296510632e-25
52,1820,6.886725711558391e-25
53,1855,6.5378838804203015e-25
54,1890,6.209673327518484e-25
55,1925,5.900673702294084e-25
56,1960,5.609574777248277e-25
57,1995,5.335167280706225e-25
58,2030,5.076334502232221e-25
59,2100,4.6013436315197045e-25
60,2170,4.177243798843839e-25
61,2240,3.797729713874539e-25
62,2310,3.457384279760068e-25
63,2380,3.1515408964234365e-25
64,2450,2.8761684153753272e-25
65,2520,2.627774941916136e-25
66,2590,2.403327291613028e-25
67,2660,2.2001834405294483e-25
68,2730,2.016035778056428e-25
69,2800,1.848863352119564e-25
70,2870,1.6968915958633571e-25
71,2940,1.5585582842179824e-25
72,3010,1.4324846965538007e-25
73,3080,1.3174511376168994e-25
74,3150,1.21237610295325e-25
75,3220,1.116298497333153e-25
76,3290,1.0283624240382988e-25
77,3360,9.478041415068186e-26
78,3430,8.739408426390041e-26
79,3500,8.061609721382316e-26
80,3570,7.43915851396863e-26
81,3640,6.86712414473342e-26
82,3710,6.341068844853882e-26
83,3780,5.85699251540851e-26
84,3850,5.411284410019885e-26
85,3920,5.000680742798567e-26
86,3990,4.622227356724176e-26
87,4060,4.2732467704253566e-26
88,4130,3.951309063350595e-26
89,4200,3.654206096917533e-26
90,4270,3.379928619220689e-26
91,4340,3.1266459143959125e-26
92,4410,2.8926877265978905e-26
93,4480,2.676528182513799e-26
94,4550,2.47677146127962e-26
95,4620,2.292139035117597e-26
96,4690,2.1214583324104566e-26
97,4760,1.9636526525698387e-26
98,4830,1.817732179604718e-26
99,4900,1.682785993154633e-26
100,4970,1.557974981843538e-26
101,5040,1.442525539500604e-26
102,5110,1.3357239434780964e-26
103,5180,1.2369113519327127e-26
104,5250,1.1454793515059001e-26
105,5320,1.0608659676899566e-26
106,5390,9.825520720810888e-27
107,5460,9.100581486905618e-27
108,5530,8.429413703539214e-27
109,5600,7.807929241472062e-27
110,5670,7.232355489530384e-27
111,5740,6.699212682287998e-27
112,5810,6.2052928695713674e-27
113,5880,5.74764015777354e-27
114,5950,5.323532093612135e-27
115,6020,4.930462181021008e-27
116,6090,4.566123367774831e-27
117,6160,4.2283923190115415e-27
118,6230,3.915314508525013e-27
119,6300,3.6250902054620575e-27
120,6370,3.356061274226638e-27
121,6440,3.1066987125295e-27
122,6510,2.875591024038264e-27
123,6580,2.6614335067573097e-27
124,6650,2.463018385592505e-27
125,6720,2.279225745395183e-27
126,6790,2.1090153474649367e-27
127,6860,1.951419354714612e-27
128,6930,1.805535860776511e-27
129,7000,1.6705231661738958e-27
130,7070,1.5455948348744391e-27
131,7140,1.430015485170125e-27
132,7210,1.3230971750349636e-27
133,7280,1.2241963104653556e-27
134,7350,1.1327110684714893e-27
135,7420,1.048079243252628e-27
136,7490,9.697763717893644e-28
137,7560,8.973140797390016e-28
138,7630,8.302386305764606e-28
139,7700,7.681295851740141e-28
140,7770,7.105984620104485e-28
141,7840,6.572873808389933e-28
142,7910,6.078676952624378e-28
143,7980,5.6203855110808595e-28
144,8050,5.19525318324457e-28
145,8120,4.800779295561407e-28
146,8190,4.434691609495743e-28
147,8260,4.094928293459249e-28
148,8330,3.7796190420827325e-28
149,8400,3.487066017630423e-28
150,8470,3.2157251074241363e-28
151,8540,2.964187435888758e-28
152,8610,2.7311613597449315e-28
153,8680,2.515455656888871e-28
154,8750,2.315964266631952e-28
155,8820,2.131652469549608e-28
156,8890,1.9615446969195995e-28
157,8960,1.804714444084549e-28
158,9030,1.6602763151360687e-28
159,9100,1.5273798900539331e-28
160,9170,1.4052054171911843e-28
161,9240,1.292961477712139e-28
162,9310,1.1898843185602003e-28
163,9380,1.0952383726068155e-28
164,9450,1.0083178352259443e-28
165,9520,9.284492132016827e-29
166,9590,8.549943764454593e-29
167,9660,7.873536339247116e-29
168,9730,7.249687287417293e-29
169,9800,6.673256329540627e-29
170,9870,6.139567271212812e-29
171,9940,5.644420710908845e-29
