,time_AU,CFFval
0,0,3.918304444521383e-22
1,35,3.90511824120134e-22
2,70,3.865990867328592e-22
3,105,3.8021834415624064e-22
4,140,3.7156935648517634e-22
5,175,3.609113312453716e-22
6,210,3.4854562110833003e-22
7,245,3.347972884925149e-22
8,280,3.19997384838091e-22
9,315,3.044674159201047e-22
10,350,2.8850694754447355e-22
11,385,2.7238476752246343e-22
12,420,2.563335537437081e-22
13,455,2.4054765859362445e-22
14,490,2.2518342166375107e-22
15,525,2.10361350965112e-22
16,560,1.9616953672089848e-22
17,595,1.8266774595924324e-22
18,630,1.6989175896206933e-22
19,665,1.5785762631272192e-22
20,700,1.4656563253776097e-22
21,735,1.360038412926052e-22
22,770,1.2615116530169885e-22
23,805,1.1697995291165398e-22
24,840,1.0845811504777956e-22
25,875,1.00550835129102e-22
26,910,9.32219135569214e-23
27,945,8.643480075273252e-23
28,980,8.015337078597064e-23
29,1000,7.677744687048611e-23
30,1015,7.434248320273056e-23
31,1050,6.896837502308871e-23
32,1070,6.60811246186275e-23
33,1085,6.399891887109132e-23
34,1120,5.940377737364017e-23
35,1140,5.69350070103525e-23
36,1155,5.515447861536953e-23
37,1190,5.122443271348913e-23
38,1210,4.9112436519694253e-23
39,1225,4.758890552139932e-23
40,1260,4.422496206389923e-23
41,1280,4.241641224996319e-23
42,1295,4.111138949571157e-23
43,1330,3.8228607088404673e-23
44,1350,3.667791780616573e-23
45,1365,3.555856891425012e-23
46,1400,3.308466343730664e-23
47,1420,3.175313123898791e-23
48,1435,3.079161307662049e-23
49,1470,2.866537591623657e-23
50,1490,2.752026983678007e-23
51,1505,2.66930510525451e-23
52,1540,2.4862788549351842e-23
53,1560,2.387648137621143e-23
54,1575,2.3163704581106106e-23
55,1610,2.1585802055861204e-23
56,1630,2.0734985561707853e-23
57,1645,2.0119896799712466e-23
58,1680,1.8757549235269016e-23
59,1700,1.802254826082481e-23
60,1715,1.7491001383579122e-23
61,1750,1.6313118950838217e-23
62,1770,1.567730419500971e-23
63,1785,1.5217338219186118e-23
64,1820,1.4197617438002782e-23
65,1840,1.3646909417143406e-23
66,1855,1.324839240292596e-23
67,1890,1.23645359103247e-23
68,1910,1.1886989513372374e-23
69,1925,1.1541320782184557e-23
70,1960,1.077438616794718e-23
71,1980,1.0359844556472069e-23
72,1995,1.0059706844632488e-23
73,2030,9.393565253040625e-24
74,2050,9.033372363173296e-24
75,2100,8.193412780237115e-24
76,2120,7.880174740299831e-24
77,2170,7.149428603352354e-24
78,2190,6.876815653172834e-24
79,2240,6.240623001096594e-24
80,2260,6.0032047945335075e-24
81,2310,5.4489760064885184e-24
82,2330,5.242084382822239e-24
83,2380,4.7589865460146324e-24
84,2400,4.578600914994458e-24
85,2450,4.157295559998367e-24
86,2470,3.9999469411955886e-24
87,2520,3.632370201160648e-24
88,2540,3.4950606867360655e-24
89,2590,3.1742385586431387e-24
90,2610,3.05437354322436e-24
91,2660,2.77426620898219e-24
92,2680,2.6695971891719556e-24
93,2730,2.424967398016897e-24
94,2750,2.3335435273169383e-24
95,2800,2.119844928888828e-24
96,2820,2.0399718427780088e-24
97,2870,1.853253919202601e-24
98,2890,1.7834586237613893e-24
99,2940,1.620285505759276e-24
100,2960,1.5592863547880486e-24
101,3010,1.4166673300114263e-24
102,3030,1.363348302769467e-24
103,3080,1.2386782363201066e-24
104,3100,1.1920668699986354e-24
105,3150,1.0830750575948366e-24
106,3170,1.042323489112606e-24
107,3220,9.47029676871284e-25
108,3240,9.113983231941138e-25
109,3290,8.280748004466016e-25
110,3310,7.969182728144369e-25
111,3360,7.240571075879941e-25
112,3380,6.968120194780244e-25
113,3430,6.330966631956581e-25
114,3450,6.092710521664864e-25
115,3500,5.535516826674091e-25
116,3520,5.327158195595451e-25
117,3570,4.839879142306514e-25
118,3590,4.657663172606245e-25
119,3640,4.2315204243569995e-25
120,3660,4.072165442934848e-25
121,3710,3.699486047225405e-25
122,3730,3.5601233705202807e-25
123,3780,3.2341995853954964e-25
124,3800,3.112321275153704e-25
125,3850,2.8272886967230786e-25
126,3870,2.720702075052558e-25
127,3920,2.471433376674781e-25
128,3940,2.378221308811777e-25
129,3990,2.1602333357688e-25
130,4010,2.078719468635921e-25
131,4060,1.8880918835999503e-25
132,4080,1.8168102049395809e-25
133,4130,1.65011429147274e-25
134,4150,1.5877825209471037e-25
135,4200,1.4420190493154523e-25
136,4220,1.3875154571384155e-25
137,4270,1.2600606320806175e-25
138,4290,1.2124038924617538e-25
139,4340,1.1009623799807375e-25
140,4360,1.059294050708535e-25
141,4410,9.618580617389928e-26
142,4430,9.254272901675968e-26
143,4480,8.40240777473121e-26
144,4500,8.083908849508569e-26
145,4550,7.339180736750886e-26
146,4570,7.060747457516697e-26
