,time_AU,CFFval
0,0,3.3475421132508256e-18
1,35,3.327612982186785e-18
2,70,3.2689888963472447e-18
3,105,3.175004415333831e-18
4,140,3.0507356037850277e-18
5,175,2.902392009367516e-18
6,210,2.736653880357317e-18
7,245,2.560068727549805e-18
8,280,2.378585306497935e-18
9,315,2.197257687355011e-18
10,350,2.020112672270868e-18
11,385,1.850148731841936e-18
12,420,1.6894247976229205e-18
13,455,1.5391989377557309e-18
14,490,1.4000849924215604e-18
15,525,1.2722052482139765e-18
16,560,1.1553263906920758e-18
17,595,1.0489730286527894e-18
18,630,9.525178222010197e-19
19,665,8.652500107686515e-19
20,700,7.864254538410375e-19
21,735,7.1530167285907835e-19
22,770,6.51161217706517e-19
23,805,5.93326254025672e-19
24,840,5.411667531878038e-19
25,875,4.94104163521045e-19
26,910,4.516119970284465e-19
27,945,4.1321439718432794e-19
28,980,3.7848346037975923e-19
29,1000,3.6013421764403537e-19
30,1015,3.4703585795430755e-19
31,1050,3.185291363209156e-19
32,1070,3.0344104620963057e-19
33,1085,2.9265794812723903e-19
34,1120,2.6915037755285797e-19
35,1140,2.566844404318616e-19
36,1155,2.4776445922467098e-19
37,1190,2.282849460558305e-19
38,1210,2.179351421084642e-19
39,1225,2.1052035130456264e-19
40,1260,1.9430027031582024e-19
41,1280,1.856660116055382e-19
42,1295,1.7947297477914997e-19
43,1330,1.6590326472663396e-19
44,1350,1.5866681908182692e-19
45,1365,1.5347055932725687e-19
46,1400,1.4206720567758116e-19
47,1420,1.3597570103192373e-19
48,1435,1.3159698444270654e-19
49,1470,1.2197379180739321e-19
50,1490,1.168250947772166e-19
51,1505,1.1312047836896045e-19
52,1540,1.0496782707805596e-19
53,1560,1.0059955534145997e-19
54,1575,9.745365393940684e-20
55,1610,9.052201680428305e-20
56,1630,8.680302342059687e-20
57,1645,8.412251915421514e-20
58,1680,7.820969724726613e-20
59,1700,7.503347698899362e-20
60,1715,7.274248035360862e-20
61,1750,6.768371503641205e-20
62,1770,6.496329335781738e-20
63,1785,6.299974553909376e-20
64,1820,5.866004332332727e-20
65,1840,5.632400468866565e-20
66,1855,5.463687967320911e-20
67,1890,5.090503604811667e-20
68,1910,4.889442687901204e-20
69,1925,4.7441547540991175e-20
70,1960,4.4225475387980135e-20
71,1980,4.249137892766554e-20
72,1995,4.1237704991483703e-20
73,2030,3.846076636777877e-20
74,2050,3.696239480929781e-20
75,2100,3.3476785999713684e-20
76,2120,3.217997201307001e-20
77,2170,2.9161011469211847e-20
78,2190,2.8037009247203755e-20
79,2240,2.5418640888090526e-20
80,2260,2.4443168052024256e-20
81,2310,2.2169487595461804e-20
82,2330,2.1321955375773267e-20
83,2380,1.934548008940648e-20
84,2400,1.860837137932516e-20
85,2450,1.6888638421400346e-20
86,2470,1.6247002549133887e-20
87,2520,1.474942731922803e-20
88,2540,1.4190467420227327e-20
89,2590,1.2885408718893851e-20
90,2610,1.2398142956359822e-20
91,2660,1.1260133501929368e-20
92,2680,1.0835115492427523e-20
93,2730,9.842225351478968e-21
94,2750,9.47131230753786e-21
95,2800,8.60461972888198e-21
96,2820,8.28077926392844e-21
97,2870,7.523928760895353e-21
98,2890,7.241077184584453e-21
99,2940,6.579908863105457e-21
100,2960,6.332775258573514e-21
101,3010,5.755012622316184e-21
102,3030,5.539024138917522e-21
103,3080,5.034010131984944e-21
104,3100,4.845194822148531e-21
105,3150,4.4036678562074456e-21
106,3170,4.2385720892075535e-21
107,3220,3.8524753678679465e-21
108,3240,3.708093410437352e-21
109,3290,3.370412105459104e-21
110,3310,3.2441259014971255e-21
111,3360,2.9487477244177457e-21
112,3380,2.838275259471225e-21
113,3430,2.579870763853474e-21
114,3450,2.483221683652745e-21
115,3500,2.257141269416964e-21
116,3520,2.1725786499045975e-21
117,3570,1.974763755023259e-21
118,3590,1.900771106470811e-21
119,3640,1.7276774893482036e-21
120,3660,1.662930227985772e-21
121,3710,1.5114615840263756e-21
122,3730,1.4548023273011964e-21
123,3780,1.3222527619300198e-21
124,3800,1.2726699050183177e-21
125,3850,1.1566740153187689e-21
126,3870,1.1132831294717489e-21
127,3920,1.0117726367892565e-21
128,3940,9.738003001658457e-22
129,3990,8.849663346995401e-22
130,4010,8.517360636228549e-22
131,4060,7.739963340694354e-22
132,4080,7.4491633135231155e-22
133,4130,6.76886523659616e-22
134,4150,6.5143900119292745e-22
135,4200,5.919078440714341e-22
136,4220,5.696397113315604e-22
137,4270,5.175472251773707e-22
138,4290,4.98061964150975e-22
139,4340,4.524804765476894e-22
140,4360,4.354310483934057e-22
141,4410,3.95548616190789e-22
142,4430,3.8063126566800776e-22
143,4480,3.457371924464581e-22
144,4500,3.326860343761744e-22
145,4550,3.0215821395468472e-22
146,4570,2.907405015337141e-22
147,4620,2.640343536281146e-22
148,4640,2.5404634130247967e-22
149,4690,2.3068513626928267e-22
150,4710,2.219484615267492e-22
151,4760,2.0151485785330909e-22
152,4780,1.9387337639718682e-22
153,4830,1.7600201825835506e-22
154,4850,1.6931903536432541e-22
155,4900,1.53690076131475e-22
156,4920,1.4784592408613313e-22
157,4970,1.3417935846671386e-22
158,4990,1.2906927608064132e-22
159,5040,1.1711997883146773e-22
160,5060,1.1265225536919685e-22
161,5110,1.0220563863760096e-22
162,5130,9.829998926403689e-23
163,5180,8.916820210043291e-23
164,5200,8.575434616792306e-23
165,5250,7.777294806459859e-23
166,5270,7.478936447665166e-23
167,5320,6.781441251311868e-23
168,5340,6.520724962393874e-23
169,5390,5.911274700470616e-23
170,5410,5.683486775604399e-23
171,5460,5.1510529317442333e-23
172,5480,4.952067520826252e-23
173,5530,4.486997141929998e-23
174,5550,4.313203079357015e-23
175,5600,3.90704758034165e-23
176,5620,3.755284335628093e-23
177,5670,3.400649634653226e-23
178,5690,3.268151241174705e-23
179,5740,2.958566547735377e-23
180,5760,2.84291250590176e-23
181,5810,2.5727154299469177e-23
182,5830,2.4717877136900395e-23
183,5880,2.236023633647605e-23
184,5900,2.147969024046773e-23
185,5950,1.9423029031287814e-23
186,5970,1.8654999727986e-23
187,6020,1.686139066303474e-23
188,6040,1.6191692516628022e-23
