,time_AU,CFFval
0,0,1.1022852056878423e-16
1,35,1.0936704060218479e-16
2,70,1.0684853223071852e-16
3,105,1.0285932187789419e-16
4,140,9.767519103648168e-17
5,175,9.161978440835315e-17
6,210,8.502279982324748e-17
7,245,7.818625751004824e-17
8,280,7.13629937051697e-17
9,315,6.47474584648225e-17
10,350,5.847624986430695e-17
11,385,5.2634848657491206e-17
12,420,4.7267284391645037e-17
13,455,4.2386326595802576e-17
14,490,3.798275006019856e-17
15,525,3.4033002072859686e-17
16,560,3.0505122128725646e-17
17,595,2.7363057487080668e-17
18,630,2.4569645527581712e-17
19,665,2.2088560247312432e-17
20,700,1.988549415200014e-17
21,735,1.792879969493938e-17
22,770,1.6189764026673318e-17
23,805,1.464264565618896e-17
24,840,1.326456474257498e-17
25,875,1.2035310343616813e-17
26,910,1.0937106979166789e-17
27,945,9.954367873443937e-18
28,980,9.07345180258159e-18
29,1015,8.282433383157318e-18
30,1050,7.570891943432955e-18
31,1085,6.929721095641848e-18
32,1120,6.350959248883078e-18
33,1155,5.827640195279046e-18
34,1190,5.353662297681217e-18
35,1225,4.923674532704456e-18
36,1260,4.532977566087249e-18
37,1295,4.177438087692967e-18
38,1330,3.8534147451766055e-18
39,1365,3.5576941656036345e-18
40,1400,3.287435713145216e-18
41,1435,3.0401237888501362e-18
42,1470,2.8135266279377854e-18
43,1505,2.605660688716208e-18
44,1540,2.4147598476179945e-18
45,1575,2.2392487255648097e-18
46,1610,2.077719564661473e-18
47,1645,1.9289121579668884e-18
48,1680,1.7916964056219655e-18
49,1715,1.6650571318878905e-18
50,1750,1.5480808509221453e-18
51,1785,1.4399442134888057e-18
52,1820,1.3399039052890177e-18
53,1855,1.247287800781201e-18
54,1890,1.1614872037989557e-18
55,1925,1.0819500305937237e-18
56,1960,1.0081748109811298e-18
57,1995,9.39705400976579e-19
58,2030,8.761263146031512e-19
59,2100,7.621561622848437e-19
60,2170,6.636080865423419e-19
61,2240,5.782563119809779e-19
62,2310,5.042273277648438e-19
63,2380,4.399375465361694e-19
64,2450,3.8404331057364392e-19
65,2520,3.3540055231507013e-19
66,2590,2.9303204878489617e-19
67,2660,2.561006858564788e-19
68,2730,2.238875064718167e-19
69,2800,1.9577358981889013e-19
70,2870,1.7122501549751951e-19
71,2940,1.4978032697509785e-19
72,3010,1.3104003084994491e-19
73,3080,1.1465776271235985e-19
74,3150,1.0033282593331226e-19
75,3220,8.780386588673976e-20
76,3290,7.684348858184576e-20
77,3360,6.72536681100342e-20
78,3430,5.886181599630078e-20
79,3500,5.151740808790009e-20
80,3570,4.5089083096340515e-20
81,3640,3.946214138118025e-20
82,3710,3.4536384669529693e-20
83,3780,3.0224246808742235e-20
84,3850,2.644917417261462e-20
85,3920,2.3144220073019764e-20
86,3990,2.0250823637946502e-20
87,4060,1.7717747656096628e-20
88,4130,1.5500153903877376e-20
89,4200,1.3558797508375794e-20
90,4270,1.1859324164545874e-20
91,4340,1.0371657304408988e-20
92,4410,9.069462686389268e-21
93,4480,7.92968095575944e-21
94,4550,6.932118985235843e-21
95,4620,6.059092716322039e-21
96,4690,5.295114821393971e-21
97,4760,4.626621339261988e-21
98,4830,4.0417326123770775e-21
99,4900,3.53004405336966e-21
100,4970,3.0824430575380802e-21
101,5040,2.6909484949236544e-21
102,5110,2.3485702700034864e-21
103,5180,2.049186316443704e-21
104,5250,1.7874350860400042e-21
105,5320,1.5586212525691252e-21
106,5390,1.358633098734526e-21
107,5460,1.1838699630247284e-21
108,5530,1.031178808441977e-21
109,5600,8.977986965415743e-22
110,5670,7.813121759166761e-22
111,5740,6.796027014411581e-22
112,5810,5.9081737388303685e-22
113,5880,5.13334223752011e-22
114,5950,4.45733601744071e-22
115,6020,3.8677297795186653e-22
116,6090,3.353648170589687e-22
117,6160,2.905573117211236e-22
118,6230,2.5151750485775315e-22
119,6300,2.1751662693803575e-22
120,6370,1.8791715710634568e-22
121,6440,1.621614726491013e-22
122,6510,1.3976176974784552e-22
123,6580,1.2029128234441328e-22
124,6650,1.0337663019919154e-22
125,6720,8.869104074048754e-23
126,6790,7.594874801301738e-23
127,6860,6.490044864211514e-23
128,6930,5.532762152323528e-23
129,7000,4.704163663124425e-23
130,7070,3.98768839118236e-23
131,7140,3.3688653184811e-23
132,7210,2.8357222287278816e-23
133,7280,2.3759696518084174e-23
134,7350,1.9826562105691955e-23
135,7420,1.6422879558343898e-23
136,7490,1.3556616251705813e-23
137,7560,1.1026825067500248e-23
138,7630,8.967166254712994e-24
139,7700,7.087619020499428e-24
140,7770,5.54705629176083e-24
141,7840,4.352811758933394e-24
142,7910,2.7948767558700107e-24
143,7980,2.648417726515545e-24
144,8050,7.844105799021523e-25
145,8120,7.178898660639926e-25
146,8190,1.1586344397537068e-24
147,8260,-2.6930370840351813e-24
148,8330,1.33078302605783e-24
149,8400,2.364951236571982e-25
150,8470,-7.239666374597486e-24
151,8540,4.454061657241096e-24
152,8610,2.857781450572751e-24
153,8680,-1.7422907831131896e-23
154,8750,5.774035811731925e-24
155,8820,2.104307421454465e-23
156,8890,-3.109318728472264e-23
157,8960,-2.3041757477679705e-23
158,9030,5.785825784494791e-23
159,9100,1.3816516594929928e-23
160,9170,-1.0048393980726856e-22
161,9240,-1.759201424923047e-23
162,9310,1.5572798114368186e-22
163,9380,4.265729921975317e-23
164,9450,-2.400802364105132e-22
165,9520,-1.3865331748684541e-22
166,9590,3.083625250547056e-22
167,9660,3.359370158591384e-22
168,9730,-2.7290396494618285e-22
169,9800,-6.517696206295949e-22
170,9870,-9.643137835979036e-23
171,9940,8.061610052396046e-22
172,10000,8.975832804637954e-22
173,10070,-1.7929543435427243e-22
174,10140,-1.4814950320886858e-21
175,10210,-1.3697096963274102e-21
176,10280,4.238291977993671e-22
177,10350,2.1371980900745544e-21
178,10420,1.7209350059668366e-21
179,10490,-9.057201405188973e-22
180,10560,-3.6736876260751394e-21
181,10630,-4.2781555362874695e-21
182,10700,-2.08251475311328e-21
183,10770,1.4281454507138254e-21
184,10840,3.539599593187357e-21
185,10910,1.9499307051465095e-21
186,10980,-3.576552207810128e-21
187,11050,-1.0701875931540772e-20
188,11120,-1.5919269349076507e-20
189,11190,-1.7002418419647314e-20
