,time_AU,CFFval
0,0,5.6596756350917445e-27
1,35,5.622296344740396e-27
2,70,5.5125887694416414e-27
3,105,5.3374836812649934e-27
4,140,5.1074234390306266e-27
5,175,4.834991799611317e-27
6,210,4.533458004945931e-27
7,245,4.215527473049892e-27
8,280,3.892354928824936e-27
9,315,3.573103472322439e-27
10,350,3.264913970834518e-27
11,385,2.9725441742000928e-27
12,420,2.6991294841010568e-27
13,455,2.446443144550965e-27
14,490,2.2148284186708488e-27
15,525,2.004008214978619e-27
16,560,1.8130830904073838e-27
17,595,1.641004585491284e-27
18,630,1.4860983332460778e-27
19,665,1.3470740770262568e-27
20,700,1.2223852087458134e-27
21,735,1.1105613290206398e-27
22,770,1.010597920451446e-27
23,805,9.20870069340446e-28
24,840,8.402759143966318e-28
25,875,7.676876771902747e-28
26,910,7.028996171876506e-28
27,945,6.4427221175804e-28
28,980,5.917572104081526e-28
29,1015,5.440409392340556e-28
30,1050,5.010018846603268e-28
31,1085,4.6203477327599775e-28
32,1120,4.267275161321872e-28
33,1155,3.9464916331024316e-28
34,1190,3.654353891821544e-28
35,1225,3.389373402548806e-28
36,1260,3.147186219679262e-28
37,1295,2.924944576165194e-28
38,1330,2.7239625939929253e-28
39,1365,2.5370897899532147e-28
40,1400,2.367268411536458e-28
41,1435,2.2105767347116688e-28
42,1470,2.0668733853132157e-28
43,1505,1.9332844496121317e-28
44,1540,1.8109534542137631e-28
45,1575,1.6959676340677134e-28
46,1610,1.591919563999651e-28
47,1645,1.494675819496238e-28
48,1680,1.4055183136703242e-28
49,1715,1.3223774930844596e-28
50,1750,1.243187488235111e-28
51,1785,1.1715025869411702e-28
52,1820,1.103112240148628e-28
53,1855,1.0410793026247364e-28
54,1890,9.811789217352646e-29
55,1925,9.274809003992987e-29
56,1960,8.762161588961091e-29
57,1995,8.268222334386174e-29
58,2030,7.81671090655347e-29
59,2100,7.014399370911807e-29
60,2170,6.293215283454748e-29
61,2240,5.667824512590689e-29
62,2310,5.096687801738981e-29
63,2380,4.5830060836438114e-29
