,time_AU,CFFval
0,0,5.253775265177754e-29
1,35,4.9709400183567844e-29
2,70,4.2223034660119e-29
3,105,3.2536708140943724e-29
4,140,2.3275578573566657e-29
5,175,1.6117105204858066e-29
6,210,1.1404706666228246e-29
7,245,8.563217863724754e-30
8,280,6.778903894075117e-30
9,315,5.464162172416307e-30
10,350,4.369413373235147e-30
11,385,3.441185861802789e-30
12,420,2.6850392040299e-30
13,455,2.078774023798292e-30
14,490,1.6004108603552954e-30
15,525,1.2132149193411796e-30
16,560,9.095471712858912e-31
17,595,6.7941934141140825e-31
18,630,5.033668266732535e-31
19,665,3.679702639105325e-31
20,700,2.6352659614888366e-31
21,735,1.8974285100646862e-31
22,770,1.3717322088429183e-31
23,805,9.643174877556022e-32
24,840,6.780202604211196e-32
25,875,4.758844885814919e-32
26,910,3.4066383378913236e-32
27,945,2.213354278269196e-32
28,980,1.6056332351094143e-32
29,1015,1.2324095490019967e-32
30,1050,7.353540423214252e-33
31,1085,5.357693061957033e-33
32,1120,5.581916369613153e-33
33,1155,4.017765842394159e-33
34,1190,1.6311095366994578e-33
35,1225,2.137803903747053e-33
36,1260,2.053572824699592e-35
37,1295,1.669125277261579e-33
38,1330,-9.362642160841134e-34
39,1365,-1.971969903058473e-34
40,1400,1.9054982247265106e-33
41,1435,6.0846206217220765e-34
42,1470,-2.2001755152499672e-33
43,1505,2.294894224027432e-33
44,1540,6.179907446414391e-35
45,1575,1.9920298351190646e-33
46,1610,3.024331649168986e-34
47,1645,5.9424586706501175e-34
48,1680,-3.003674868279296e-35
49,1715,1.2064154969257197e-33
50,1750,-2.1719790479659112e-33
51,1785,-7.283021553874634e-34
52,1820,3.429815731068601e-34
53,1855,-2.066401414593075e-33
54,1890,1.5288574685476193e-33
55,1925,9.11539654048267e-34
56,1960,7.78360323113014e-34
57,1995,7.800557719752347e-34
58,2030,1.2316775037723164e-33
59,2100,1.073746464185756e-34
60,2170,-1.852118518999523e-33
61,2240,-8.837762515700686e-34
62,2310,2.169561707302964e-33
63,2380,2.243777803855684e-34
64,2450,-3.2787224284101297e-34
65,2520,7.0104333701115175e-34
66,2590,-2.7569417111176687e-33
67,2660,2.766971185881833e-33
68,2730,8.924672386352175e-35
69,2800,9.579328128227336e-34
70,2870,-3.433896506985369e-34
71,2940,1.6517883137595395e-34
72,3010,-3.1750536572220244e-34
73,3080,6.846486884035505e-34
74,3150,3.581110317121964e-34
75,3220,-6.3211329166814054e-34
76,3290,1.4208087408558621e-33
77,3360,-2.6896271766895938e-33
78,3430,1.8438581107960447e-34
79,3500,2.63402103887439e-34
80,3570,2.402966641462185e-33
81,3640,1.4388421811755517e-33
82,3710,9.722156929114004e-34
83,3780,2.4340902853869656e-34
84,3850,3.463675987459756e-34
85,3920,-2.8482389645683882e-34
86,3990,5.682519570181356e-35
87,4060,1.3566119023176829e-33
88,4130,6.599699688875736e-34
89,4200,6.633364834011666e-34
