,time_AU,CFFval
0,0,6.507186015725718e-25
1,35,6.496092844418341e-25
2,70,6.4629956640013735e-25
3,105,6.408434514341105e-25
4,140,6.333286734986923e-25
5,175,6.2387344877804e-25
6,210,6.1262223401942075e-25
7,245,5.9974075811149515e-25
8,280,5.854106224213342e-25
9,315,5.698237674073772e-25
10,350,5.531770812413274e-25
11,385,5.356673856067993e-25
12,420,5.174869809278816e-25
13,455,4.988198747958878e-25
14,490,4.798387594897323e-25
15,525,4.60702752147076e-25
16,560,4.4155586768416725e-25
17,595,4.2252616169065825e-25
18,630,4.037254585370137e-25
19,665,3.8524956801668655e-25
20,700,3.671788904856663e-25
21,735,3.49579313779427e-25
22,770,3.3250331324312325e-25
23,805,3.15991177211724e-25
24,840,3.0007229270596447e-25
25,875,2.8476643877890928e-25
26,910,2.700850470046573e-25
27,945,2.560323994906843e-25
28,980,2.426067442172548e-25
29,1015,2.298013153508996e-25
30,1050,2.176052524751732e-25
31,1085,2.0600441754469943e-25
32,1120,1.949821119733856e-25
33,1155,1.845196988030595e-25
34,1190,1.7459713655760224e-25
35,1225,1.6519343235244242e-25
36,1260,1.5628702226136862e-25
37,1295,1.4785608697693142e-25
38,1330,1.398788105573611e-25
39,1365,1.3233358961728608e-25
40,1400,1.2519919976953088e-25
41,1435,1.1845492551155858e-25
42,1470,1.1208065911493746e-25
43,1505,1.0605697344863926e-25
44,1540,1.003651730650596e-25
45,1575,9.498732731616612e-26
46,1610,8.990628875169008e-26
47,1645,8.51056995860462e-26
48,1680,8.05699886052572e-26
49,1715,7.628436051952385e-26
50,1750,7.223477944703686e-26
51,1785,6.840794793607013e-26
52,1820,6.479128269405261e-26
53,1855,6.137288798632749e-26
54,1890,5.814152749271254e-26
55,1925,5.508659526088556e-26
56,1960,5.219808627074656e-26
57,1995,4.946656701786378e-26
58,2030,4.6883146436072896e-26
59,2100,4.21275790379756e-26
60,2170,3.787004201822499e-26
61,2240,3.405613973206569e-26
62,2310,3.0637649738672197e-26
63,2380,2.757182089155201e-26
64,2450,2.4820742322163995e-26
65,2520,2.2350780182025446e-26
66,2590,2.013207745188143e-26
67,2660,1.813811138412562e-26
68,2730,1.634530295473004e-26
69,2800,1.473267284752618e-26
70,2870,1.3281538813031794e-26
71,2940,1.1975249631027051e-26
72,3010,1.07989513165041e-26
73,3080,9.739381629853787e-27
74,3150,8.784689384094827e-27
75,3220,7.924275466588068e-27
76,3290,7.148652884145305e-27
77,3360,6.4493234753744135e-27
78,3430,5.818669211579362e-27
79,3500,5.24985625056117e-27
80,3570,4.7367501373696376e-27
81,3640,4.273840767052337e-27
82,3710,3.856175920972069e-27
83,3780,3.479302345399549e-27
84,3850,3.139213461094349e-27
85,3920,2.8323028945166403e-27
86,3990,2.555323121597404e-27
87,4060,2.3053486152945006e-27
88,4130,2.0797429771038646e-27
89,4200,1.8761296010805625e-27
90,4270,1.692365468214113e-27
91,4340,1.5265177091735195e-27
92,4410,1.3768426141256311e-27
93,4480,1.2417668123952311e-27
94,4550,1.1198703860316137e-27
95,4620,1.009871714162776e-27
96,4690,9.106138658289966e-28
97,4760,8.210523727857343e-28
98,4830,7.402442283317521e-28
99,4900,6.673379778478955e-28
100,4970,6.015647891278373e-28
101,5040,5.422304082820269e-28
102,5110,4.887079154806437e-28
103,5180,4.404311973046797e-28
104,5250,3.9688905686528657e-28
105,5320,3.576198930511849e-28
106,5390,3.222068934933288e-28
107,5460,2.90273695940334e-28
108,5530,2.6148047560742008e-28
109,5600,2.3552041544756667e-28
110,5670,2.1211651721336304e-28
111,5740,1.9101871654440823e-28
112,5810,1.7200127316328092e-28
113,5880,1.5486041310327683e-28
114,5950,1.3941220184168496e-28
115,6020,1.2549062592696575e-28
116,6090,1.1294585992117286e-28
117,6160,1.016426976706828e-28
118,6230,9.1459131623139e-29
119,6300,8.228506855471773e-29
120,6370,7.402117179303795e-29
121,6440,6.657781844682984e-29
122,6510,5.987415819901226e-29
123,6580,5.383726080410398e-29
124,6650,4.840134292874247e-29
125,6720,4.350706898437397e-29
126,6790,3.9100921697701367e-29
127,6860,3.513463654190397e-29
128,6930,3.1564691759792025e-29
129,7000,2.835184611114938e-29
130,7070,2.5460718947382855e-29
131,7140,2.2859410288617405e-29
132,7210,2.0519159310672057e-29
133,7280,1.8414038273745858e-29
134,7350,1.652067712380518e-29
135,7420,1.481801375481797e-29
136,7490,1.3287066648347897e-29
137,7560,1.191072868294071e-29
138,7630,1.067358197690337e-29
139,7700,9.561732603685738e-30
140,7770,8.562662571154267e-30
141,7840,7.665095596158237e-30
142,7910,6.858874298136092e-30
143,7980,6.1348482983556825e-30
144,8000,5.941906030988007e-30
145,8070,5.3115628783514044e-30
146,8140,4.745762351773889e-30
147,8210,4.238014561724517e-30
148,8280,3.782476900727457e-30
149,8350,3.3738891965921565e-30
150,8420,3.007514585399048e-30
151,8490,2.6790869257818965e-30
152,8560,2.384764995810301e-30
153,8630,2.1210922067848693e-30
154,8700,1.8849588355049704e-30
155,8770,1.6735667801433197e-30
156,8840,1.4843993262982527e-30
157,8910,1.315191678774406e-30
158,8980,1.1639008526739223e-30
