,time_AU,CFFval
0,0,8.56256116682646e-23
1,35,8.497864126925249e-23
2,70,8.30857625162928e-23
3,105,8.00829649426207e-23
4,140,7.617225101724453e-23
5,175,7.159194202627074e-23
6,210,6.658651208669412e-23
7,245,6.138185577490897e-23
8,280,5.616908393382646e-23
9,315,5.109710644584474e-23
10,350,4.627234036557386e-23
11,385,4.176310630576432e-23
12,420,3.7606381763103535e-23
13,455,3.3815139494957095e-23
14,490,3.0385160494306334e-23
15,525,2.730077244761682e-23
16,560,2.453935318979331e-23
17,595,2.207466864910039e-23
18,630,1.9879221209677884e-23
19,665,1.7925815424435897e-23
20,700,1.618853666439563e-23
21,735,1.46433075971206e-23
22,770,1.3268153170519037e-23
23,805,1.204327284550453e-23
24,840,1.095099052594745e-23
25,875,9.975632754899672e-24
26,910,9.103368955861477e-24
27,945,8.322036088049286e-24
28,980,7.620961956484147e-24
29,1015,6.990795556715409e-24
30,1050,6.4233496262625904e-24
31,1085,5.9114570943305075e-24
32,1120,5.448842594436752e-24
33,1155,5.030008376020626e-24
34,1190,4.650133917115459e-24
35,1225,4.304988124433527e-24
36,1260,3.990852831373048e-24
37,1295,3.704456086429855e-24
38,1330,3.4429147294521196e-24
39,1365,3.203684064446977e-24
40,1400,2.984514792282551e-24
41,1435,2.783415754208535e-24
42,1470,2.598620707458381e-24
43,1505,2.4285612373179453e-24
44,1540,2.2718415778886933e-24
45,1575,2.1272180049950366e-24
46,1610,1.99358021141002e-24
47,1645,1.8699354877012555e-24
48,1680,1.7553946851538753e-24
49,1715,1.6491602920342555e-24
50,1750,1.5505157954691792e-24
51,1785,1.4588163693547084e-24
52,1820,1.3734809721734891e-24
53,1855,1.2939850599875715e-24
54,1890,1.2198544371926051e-24
55,1925,1.1506599575581371e-24
56,1960,1.0860124569046692e-24
57,1995,1.0255585686332218e-24
58,2030,9.68977199641604e-25
59,2100,8.662879650146052e-25
60,2170,7.759003005754343e-25
61,2240,6.961065394830677e-25
62,2310,6.2547333351473185e-25
63,2380,5.627916618922114e-25
64,2450,5.070370192412409e-25
