,time_AU,CFFval
0,0,2.575536354947351e-17
1,35,2.5471503157254416e-17
2,70,2.465041514243182e-17
3,105,2.337621560670889e-17
4,140,2.176759971201594e-17
5,175,1.9954390305242508e-17
6,210,1.8057123624033357e-17
7,245,1.617405689248357e-17
8,280,1.4376197800375568e-17
9,315,1.2708427492121446e-17
10,350,1.1194009513759369e-17
11,385,9.840196428257896e-18
12,420,8.643497581417726e-18
13,455,7.593949443942418e-18
14,490,6.678247569061171e-18
15,525,5.88186609875265e-18
16,560,5.190386087254158e-18
17,595,4.590255946003081e-18
18,630,4.0691700876579024e-18
19,665,3.6162054945937865e-18
20,700,3.221814146352187e-18
21,735,2.8777364466146186e-18
22,770,2.5768770416252192e-18
23,805,2.313168134082547e-18
24,840,2.081434680034387e-18
25,875,1.877269054213493e-18
26,910,1.6969186032205074e-18
27,945,1.537187057832442e-18
28,980,1.3953494158684468e-18
29,1015,1.2690792174630677e-18
30,1050,1.1563868453423133e-18
31,1085,1.0555674227793236e-18
32,1120,9.651569456507541e-19
33,1155,8.838954088820939e-19
34,1190,8.106958343269507e-19
35,1225,7.446182552426739e-19
36,1260,6.848478516460821e-19
37,1295,6.306765564812976e-19
38,1330,5.814875610290439e-19
39,1365,5.367422424775412e-19
40,1400,4.959691156812365e-19
41,1435,4.587544781012272e-19
42,1470,4.247344727324501e-19
43,1505,3.935883401197787e-19
44,1540,3.6503266934464655e-19
45,1575,3.3881648949129804e-19
46,1610,3.1471706965792173e-19
47,1645,2.925363175995804e-19
48,1680,2.7209768481503165e-19
49,1715,2.532435012910472e-19
50,1750,2.358326752806359e-19
51,1785,2.197387038906075e-19
52,1820,2.04847949097265e-19
53,1855,1.910581404144153e-19
54,1890,1.782770718834625e-19
55,1925,1.664214660629112e-19
56,1960,1.554159813267044e-19
57,1995,1.4519234302938232e-19
58,2030,1.3568858137152765e-19
59,2100,1.1862039537685353e-19
60,2170,1.0381823577341045e-19
61,2240,9.09543996731026e-20
62,2310,7.97542940887738e-20
63,2380,6.998667858440366e-20
64,2450,6.145591939970954e-20
65,2520,5.399579971414877e-20
66,2590,4.746454161782476e-20
67,2660,4.174077765812319e-20
68,2730,3.67202711772788e-20
69,2800,3.2313230645030235e-20
70,2870,2.844209804227449e-20
71,2940,2.503971776779016e-20
72,3010,2.2047812809909007e-20
73,3080,1.941571029091953e-20
74,3150,1.70992705966454e-20
75,3220,1.5059983705490316e-20
76,3290,1.3264203249340187e-20
77,3360,1.1682494938154232e-20
78,3430,1.0289080236916835e-20
79,3500,9.061359716845108e-21
80,3570,7.979503464881575e-21
81,3640,7.026098075555359e-21
82,3710,6.185841657717974e-21
83,3780,5.445279659644308e-21
84,3850,4.792575569655692e-21
85,3920,4.2173115136013926e-21
86,3990,3.710314528312345e-21
87,4060,3.263504969082192e-21
88,4130,2.869764038030773e-21
89,4200,2.522817916651288e-21
90,4270,2.217136195977216e-21
91,4340,1.947842920260173e-21
92,4410,1.7106384304442578e-21
93,4480,1.501730782082326e-21
94,4550,1.3177754143962409e-21
95,4620,1.1558221494722285e-21
96,4690,1.0132685084176977e-21
97,4760,8.878186302130524e-22
98,4830,7.774470949086547e-22
99,4900,6.803670351375964e-22
100,4970,5.950020553074296e-22
101,5040,5.199614458446283e-22
102,5110,4.540183480911896e-22
103,5180,3.9609049553530495e-22
104,5250,3.452232143426828e-22
105,5320,3.0057443482614253e-22
106,5390,2.6140145961250394e-22
107,5460,2.2704928785313296e-22
108,5530,1.9694032507992598e-22
109,5600,1.7056526928492837e-22
110,5670,1.4747509277548207e-22
111,5740,1.272739659289736e-22
112,5810,1.0961298437811672e-22
113,5880,9.418466240654057e-23
114,5950,8.071805518598748e-23
115,6020,6.897445685825682e-23
116,6090,5.874359206254331e-23
117,6160,4.984028037743737e-23
118,6230,4.210147569742962e-23
119,6300,3.538363441789894e-23
120,6370,2.956042226857565e-23
121,6440,2.452068482944475e-23
122,6510,2.016665262919464e-23
123,6580,1.6412346747964176e-23
124,6650,1.3182173479474312e-23
125,6720,1.0409694748671225e-23
126,6790,8.0365456811523e-24
127,6860,6.0114927420313785e-24
128,6930,4.28956923989545e-24
129,7000,2.8313128032461966e-24
130,7070,1.6020946595470952e-24
131,7140,5.715556344915839e-25
132,7210,-2.868890939785719e-25
133,7280,-9.965005326636485e-25
134,7350,-1.5776264206776767e-24
135,7420,-2.0480593809927902e-24
136,7490,-2.4233457634664598e-24
137,7560,-2.7170561829518598e-24
138,7630,-2.941024113051133e-24
139,7700,-3.1055662954528187e-24
140,7770,-3.219668599635417e-24
141,7840,-3.2911549860308862e-24
142,7910,-3.32682319951445e-24
143,7980,-3.3325644472725975e-24
144,8050,-3.3134738913972285e-24
145,8120,-3.273943344149374e-24
146,8190,-3.217749999788973e-24
147,8260,-3.1481327626069983e-24
148,8330,-3.0678556984218444e-24
149,8400,-2.979266911526385e-24
150,8470,-2.884355571330912e-24
151,8540,-2.784802413482009e-24
152,8610,-2.6820340889154263e-24
153,8680,-2.5772788133061278e-24
154,8750,-2.471622574582832e-24
155,8820,-2.366022832700088e-24
156,8890,-2.2612865694646324e-24
157,8960,-2.1581951150098463e-24
158,9030,-2.0575397623620048e-24
159,9100,-1.959637750307674e-24
160,9170,-1.8648924578671748e-24
161,9240,-1.774268018307538e-24
162,9310,-1.686610392594262e-24
163,9380,-1.6028371410548104e-24
164,9450,-1.5240715225430631e-24
165,9520,-1.4450990668407768e-24
166,9590,-1.3749152489052543e-24
167,9660,-1.3014244995705247e-24
168,9730,-1.235574281244716e-24
169,9800,-1.1709579263650832e-24
170,9870,-1.1043233317485784e-24
171,9940,-1.052332753637646e-24
172,10010,-9.802802171258068e-25
173,10080,-9.449638247540234e-25
174,10150,-8.647572386725317e-25
175,10220,-8.433706344543418e-25
176,10290,-7.713732015752375e-25
177,10360,-7.215883118553727e-25
178,10430,-7.419289162320246e-25
179,10500,-5.277328823407558e-25
180,10570,-8.142824389420696e-25
181,10640,-2.916566585933744e-25
182,10710,-8.096771441418806e-25
183,10780,-4.0096122473676578e-25
184,10850,-1.9464226357683918e-25
185,10920,-1.2047345683214234e-24
186,10990,5.937477222907281e-25
187,11060,-9.575705289648071e-25
188,11130,-1.094493628517514e-24
189,11200,1.820043605345329e-24
190,11270,-2.529284946922993e-24
191,11340,-5.204070138192502e-25
192,11410,3.3155354720410875e-24
193,11480,-4.15367592996149e-24
194,11550,-1.5312974915018348e-24
195,11620,6.69440852174793e-24
196,11690,-4.100338721507783e-24
197,11760,-7.95738371867157e-24
198,11830,1.1022083894910233e-23
199,11900,4.578648296852681e-24
200,11970,-1.9814673571758032e-23
201,12040,1.887302669901347e-24
202,12110,2.6300732629501065e-23
203,12180,-1.1035157007150591e-23
204,12250,-3.3834516039033574e-23
205,12320,1.496955083978084e-23
206,12390,4.195454832649866e-23
207,12460,-1.51053714695944e-23
208,12530,-6.238293858692506e-23
209,12600,-5.254028531980685e-24
210,12670,7.740264827674787e-23
211,12740,3.1647005025203404e-23
212,12810,-1.0427246185014332e-22
213,12880,-1.1169752578598388e-22
214,12950,5.251064074481225e-23
215,13020,1.4105271444669648e-22
216,13090,-1.1295713773776217e-23
217,13160,-2.2431121237495943e-22
218,13230,-2.3093367036189505e-22
219,13300,-3.099408943003404e-23
220,13370,1.3294462963648605e-22
221,13440,4.7084441381335867e-23
222,13510,-2.805195262792661e-22
223,13580,-6.123718171482433e-22
224,13650,-6.629518057892331e-22
225,13720,-3.915006199605096e-22
226,13790,-1.2341771280449202e-22
227,13860,-2.780831223124834e-22
228,13930,-9.39316863869818e-22
229,14000,-1.757126066931038e-21
230,14070,-2.297061144958009e-21
231,14140,-2.437194895095756e-21
