,time_AU,CFFval
0,0,9.814763757623948e-22
1,35,9.733421789040373e-22
2,70,9.496010611617876e-22
3,105,9.121154422873501e-22
4,140,8.636216864692877e-22
5,175,8.072963788706959e-22
6,210,7.463296336757731e-22
7,245,6.835921893177735e-22
8,280,6.214352510067177e-22
9,315,5.6161793894214855e-22
10,350,5.053307843014403e-22
11,385,4.532762340283573e-22
12,420,4.057723628429949e-22
13,455,3.628564571480858e-22
14,490,3.243755359277897e-22
15,525,2.9005874389102416e-22
16,560,2.5957145481919963e-22
17,595,2.3255341092599803e-22
18,630,2.0864410396150537e-22
19,665,1.874985769567583e-22
20,700,1.6879638119055888e-22
21,735,1.5224585442286238e-22
22,770,1.3758533980753114e-22
23,805,1.2458250670518806e-22
24,840,1.1303257630750853e-22
25,875,1.0275598884160732e-22
26,910,9.359585839736702e-23
27,945,8.541542908804609e-23
28,980,7.809565689733393e-23
29,1015,7.15329825194773e-23
30,1050,6.563732348849737e-23
31,1085,6.033028997394124e-23
32,1120,5.554361671630453e-23
33,1155,5.1217794440555874e-23
34,1190,4.7300882328024186e-23
35,1225,4.3747481655724233e-23
36,1260,4.051785088229141e-23
37,1295,3.757714428988811e-23
38,1330,3.489475745510328e-23
39,1365,3.2443764403227875e-23
40,1400,3.020043379282568e-23
41,1435,2.8143812569760005e-23
42,1470,2.6255367379496378e-23
43,1505,2.4518675541849258e-23
44,1540,2.2919158311903452e-23
45,1575,2.144385063309054e-23
46,1610,2.008120192418848e-23
47,1645,1.882090392329164e-23
48,1680,1.7653741308816918e-23
49,1715,1.6571462004057252e-23
50,1750,1.5566664392329402e-23
51,1785,1.463269874940273e-23
52,1820,1.3763581401618336e-23
53,1855,1.2953919386006261e-23
54,1890,1.2198844527182066e-23
55,1925,1.1493955448741177e-23
56,1960,1.0835266959288137e-23
57,1995,1.0219165200498126e-23
58,2030,9.642368654349777e-24
59,2100,8.595021986039233e-24
60,2170,7.672398065299314e-24
61,2240,6.857139461887412e-24
62,2310,6.1347057717109134e-24
63,2380,5.492854367985531e-24
64,2450,4.92122866612514e-24
65,2520,4.41102869706702e-24
66,2590,3.9547448202614755e-24
67,2660,3.545940560310534e-24
68,2730,3.179075684373101e-24
69,2800,2.84936302855281e-24
70,2870,2.5526515073413448e-24
71,2940,2.2853290033980504e-24
72,3010,2.0442408784280503e-24
73,3080,1.8266221699921684e-24
74,3150,1.6300419474002603e-24
75,3220,1.4523571759618436e-24
76,3290,1.29167335309648e-24
77,3360,1.1463106741589855e-24
78,3430,1.0147752417461972e-24
79,3500,8.957353909689329e-25
80,3570,7.880017005706964e-25
81,3640,6.905096632981482e-25
82,3710,6.023042567385203e-25
83,3780,5.225266118689128e-25
84,3850,4.5040296320086325e-25
85,3920,3.852354933970867e-25
86,3990,3.263939381193939e-25
87,4060,2.733079621647773e-25
88,4130,2.254604851505492e-25
89,4200,1.8238218698014456e-25
90,4270,1.4364687435899902e-25
91,4340,1.0886725508993074e-25
92,4410,7.769081716463906e-26
93,4480,4.979620398658298e-26
94,4550,2.489031872183621e-26
95,4620,2.705877160415234e-27
96,4690,-1.700095726890315e-26
97,4760,-3.445285832059849e-26
98,4830,-4.985350386545877e-26
99,4900,-6.33891789496852e-26
100,4970,-7.523013479575527e-26
101,5040,-8.553192191021018e-26
102,5110,-9.443688002580554e-26
103,5180,-1.020753539347767e-25
104,5250,-1.085666977593071e-25
105,5320,-1.1402004771044608e-25
106,5390,-1.1853513426322884e-25
107,5460,-1.2220320423124603e-25
108,5530,-1.251078256699672e-25
109,5600,-1.2732550604702909e-25
110,5670,-1.2892612613317576e-25
111,5740,-1.2997344264400647e-25
112,5810,-1.3052572599354136e-25
113,5880,-1.3063628395481195e-25
114,5950,-1.3035383125722229e-25
115,6020,-1.2972274570849547e-25
116,6090,-1.2878342325971986e-25
117,6160,-1.2757266269972616e-25
118,6230,-1.2612406098728603e-25
119,6300,-1.2446820849436863e-25
120,6370,-1.2263287978640174e-25
121,6440,-1.2064322313263835e-25
122,6510,-1.185220435206087e-25
123,6580,-1.1629009089070643e-25
124,6650,-1.1396616956821146e-25
125,6720,-1.1156722337044882e-25
126,6790,-1.0910849913592229e-25
127,6860,-1.0660372350832017e-25
128,6930,-1.0406530106911271e-25
129,7000,-1.0150439362826576e-25
130,7070,-9.8930960843338e-26
131,7140,-9.635385439493858e-26
132,7210,-9.378094843955956e-26
133,7280,-9.121929505676338e-26
134,7350,-8.867515988222203e-26
135,7420,-8.615402029623431e-26
136,7490,-8.366066138042695e-26
137,7560,-8.119924306969353e-26
138,7630,-7.877342947376241e-26
139,7700,-7.63863914046615e-26
140,7770,-7.404080358863001e-26
141,7840,-7.173889192960773e-26
142,7910,-6.94825179038479e-26
143,7980,-6.727323116826421e-26
144,8050,-6.511230757763722e-26
145,8120,-6.300069480499625e-26
146,8190,-6.093907647203966e-26
147,8260,-5.89279143150903e-26
148,8330,-5.696750618785083e-26
149,8400,-5.505797960252886e-26
150,8470,-5.31992804423178e-26
151,8540,-5.139117807823802e-26
152,8610,-4.9633334546455175e-26
153,8680,-4.7925327630815245e-26
154,8750,-4.626664616852871e-26
155,8820,-4.4656680003688077e-26
156,8890,-4.30947180587661e-26
157,8960,-4.157998272714041e-26
158,9030,-4.011167513824147e-26
159,9100,-3.868896113780319e-26
160,9170,-3.731094848093531e-26
161,9240,-3.5976685130629147e-26
162,9310,-3.4685212620041424e-26
163,9380,-3.3435568975232667e-26
164,9450,-3.222678842360504e-26
165,9520,-3.105788076238379e-26
166,9590,-2.992782209801747e-26
167,9660,-2.883560167016182e-26
168,9730,-2.778022013591682e-26
169,9800,-2.6760700308239605e-26
170,9870,-2.577604139577986e-26
171,9940,-2.4825246499513464e-26
172,10000,-2.403648080584053e-26
173,10070,-2.314598110580233e-26
174,10140,-2.2286603066808952e-26
175,10210,-2.1457419522554083e-26
176,10280,-2.065748335935268e-26
177,10350,-1.9885879492708506e-26
178,10420,-1.914172065327756e-26
179,10490,-1.842414676832513e-26
180,10560,-1.7732313040778263e-26
181,10630,-1.7065371752974644e-26
182,10700,-1.6422509452258614e-26
183,10770,-1.5802949160922523e-26
184,10840,-1.520593535804383e-26
185,10910,-1.4630727166336103e-26
186,10980,-1.4076578250102462e-26
187,11050,-1.3542763798435015e-26
188,11120,-1.3028588819399883e-26
189,11190,-1.2533378936190963e-26
190,11260,-1.2056455536253894e-26
191,11330,-1.1597175956856052e-26
192,11400,-1.11548978606179e-26
193,11470,-1.0729018872579416e-26
194,11540,-1.0319009817762467e-26
195,11610,-9.924258843820455e-27
196,11680,-9.544323431160204e-27
197,11750,-9.178574084878175e-27
198,11820,-8.826637991345532e-27
199,11890,-8.48793809338379e-27
200,11960,-8.16208909545535e-27
201,12030,-7.848571425924131e-27
202,12100,-7.546932868587002e-27
203,12170,-7.256732672603974e-27
204,12240,-6.977655742216893e-27
205,12310,-6.70884990063351e-27
206,12380,-6.45107087115961e-27
207,12450,-6.2013509326620734e-27
208,12520,-5.964230885416503e-27
209,12590,-5.731078252474197e-27
210,12660,-5.513823514017744e-27
211,12730,-5.296673863057574e-27
212,12800,-5.094366024590807e-27
213,12870,-4.8993380744324514e-27
214,12940,-4.700527987905299e-27
215,13010,-4.534770598636693e-27
216,13080,-4.341470401238592e-27
217,13150,-4.179647276694894e-27
218,13220,-4.03552597548221e-27
219,13290,-3.8355081328992446e-27
220,13360,-3.730748971613344e-27
221,13430,-3.586325695236008e-27
222,13500,-3.374642405296407e-27
223,13570,-3.346190937401619e-27
224,13640,-3.1940543398397857e-27
225,13710,-2.9366136581399893e-27
226,13780,-3.0099819367915963e-27
227,13850,-2.898965214535395e-27
228,13920,-2.49511484018676e-27
229,13990,-2.648089460539895e-27
230,14060,-2.7759291201770835e-27
231,14130,-2.13910841610542e-27
232,14200,-2.0489950795640968e-27
233,14270,-2.7371162033565773e-27
234,14340,-2.286344078422424e-27
235,14410,-1.2380541611181463e-27
236,14480,-1.9738280487485228e-27
237,14550,-3.042847815236678e-27
238,14620,-1.6765869865727724e-27
239,14690,-1.4503427695128094e-28
240,14760,-1.8329904782160565e-27
241,14830,-3.8648037921667474e-27
242,14900,-1.707289097032472e-27
243,14970,1.532155821900441e-27
244,15040,-3.690113523203086e-28
245,15110,-5.0566446511097886e-27
246,15180,-4.332196275719805e-27
247,15250,2.0947095719350863e-27
248,15320,4.5365325084528495e-27
249,15390,-2.2714310958333954e-27
250,15460,-9.472501192133328e-27
251,15530,-5.6084573513763596e-27
252,15600,6.0157839280693546e-27
253,15670,1.0136784768498128e-26
254,15740,-6.606051727218954e-28
255,15810,-1.5213055998028122e-26
256,15880,-1.5476500900572588e-26
257,15950,1.9346627644660827e-27
258,16020,1.919959879362118e-26
259,16090,1.576251292361793e-26
260,16160,-8.418579444452946e-27
261,16230,-3.156595749587867e-26
262,16300,-3.0805273905933473e-26
263,16370,-3.5228505005185536e-27
264,16440,2.839001488665362e-26
265,16510,3.530784892326631e-26
266,16580,5.7348011167699035e-27
267,16650,-4.1901516241277047e-26
268,16720,-7.365213936773089e-26
269,16790,-6.64565893438847e-26
270,16860,-2.3929149942848808e-26
271,16930,2.611521891991579e-26
272,17000,4.748875550248637e-26
273,17070,1.7567757729918418e-26
274,17140,-5.642033809560871e-26
275,17210,-1.403594716333906e-25
276,17280,-1.9499046460730976e-25
277,17350,-1.9872824577528683e-25
278,17420,-1.5632986827852953e-25
279,17490,-9.448586255530255e-26
280,17560,-5.169407870008579e-26
281,17630,-6.402876607879549e-26
282,17700,-1.4833245423206756e-25
283,17770,-2.9247330355470545e-25
284,17840,-4.619652330751046e-25
285,17910,-6.184241871729108e-25
286,17980,-7.352750654140961e-25
287,18050,-8.028096228490596e-25
288,18120,-8.274384839239196e-25
289,18190,-8.314587415770271e-25
290,18260,-8.509271535676264e-25
291,18330,-9.258413746294396e-25
292,18400,-1.0849827123139216e-24
293,18470,-1.3360926102318311e-24
294,18540,-1.6684846641073473e-24
295,18610,-2.063453956985517e-24
296,18680,-2.501915643188959e-24
297,18750,-2.96479518283988e-24
298,18820,-3.431476731989931e-24
299,18890,-3.883453436230134e-24
300,18960,-4.312953985780687e-24
301,19030,-4.729067846302086e-24
302,19100,-5.155094612534919e-24
303,19170,-5.6188811905576094e-24
304,19240,-6.144016137455596e-24
305,19310,-6.747888987058661e-24
306,19380,-7.445294351787589e-24
307,19450,-8.25107120015098e-24
308,19520,-9.177020858719285e-24
309,19590,-1.022484591813205e-23
310,19660,-1.138170064174426e-23
311,19730,-1.2623727232043242e-23
312,19800,-1.392685337247261e-23
313,19870,-1.5278326819525756e-23
314,19940,-1.6681511448860678e-23
