,time_AU,CFFval
0,0,1.3503589221117408e-18
1,35,1.3379952601231925e-18
2,70,1.3020103329180644e-18
3,105,1.2454984565873893e-18
4,140,1.1729488640022825e-18
5,175,1.089476751003354e-18
6,210,1.0000947154145097e-18
7,245,9.09177373057622e-19
8,280,8.2017394736576e-19
9,315,7.355418270149222e-19
10,350,6.568323807342453e-19
11,385,5.848554760603425e-19
12,420,5.198653335686481e-19
13,455,4.617323582156442e-19
14,490,4.1008445441482985e-19
15,525,3.6441400105009247e-19
16,560,3.2415355700453134e-19
17,595,2.8872616945580984e-19
18,630,2.5757656182484587e-19
19,665,2.3018873329598785e-19
20,700,2.060943678878104e-19
21,735,1.848753237056009e-19
22,770,1.6616251813571318e-19
23,805,1.4963278382097397e-19
24,840,1.3500472736669017e-19
25,875,1.2203424091284111e-19
26,910,1.1051005691314882e-19
27,945,1.0024956498297172e-19
28,980,9.109499950919912e-20
29,1015,8.291003849101199e-20
30,1050,7.557681345180817e-20
31,1085,6.899330758988958e-20
32,1120,6.307110807668121e-20
33,1155,5.773347404277793e-20
34,1190,5.2913681617279934e-20
35,1225,4.855360942816339e-20
36,1260,4.4602531206226975e-20
37,1295,4.10160857972062e-20
38,1330,3.775539853021696e-20
39,1365,3.4786331441169486e-20
40,1400,3.2078842962686303e-20
41,1435,2.960644057875261e-20
42,1470,2.73457123774867e-20
43,1505,2.527592557047517e-20
44,1540,2.337868192550665e-20
45,1575,2.163762152338484e-20
46,1610,2.0038167685664812e-20
47,1645,1.8567306933791416e-20
48,1680,1.7213398849371966e-20
49,1715,1.596601147595596e-20
50,1750,1.481577856459252e-20
51,1785,1.3754275521791822e-20
52,1820,1.2773911448081304e-20
53,1855,1.1867834967380456e-20
54,1890,1.1029851943595884e-20
55,1925,1.0254353464304156e-20
56,1960,9.536252664245136e-21
57,1995,8.870929244014961e-21
58,2030,8.254180606510234e-21
59,2065,7.682178787257935e-21
60,2100,7.151432392351761e-21
61,2135,6.6587529187924914e-21
62,2170,6.201224893720541e-21
63,2205,5.776179346137904e-21
64,2240,5.381170213985023e-21
65,2275,5.013953307350689e-21
66,2310,4.6724675331076555e-21
67,2345,4.3548180942348925e-21
68,2380,4.0592614513409186e-21
69,2415,3.784191827487133e-21
70,2450,3.5281290659302526e-21
71,2485,3.289707720691499e-21
72,2520,3.0676672078620868e-21
73,2555,2.8608429095571618e-21
74,2590,2.6681581503082568e-21
75,2625,2.4886169059151174e-21
76,2660,2.321297210478621e-21
77,2695,2.165345153295013e-21
78,2730,2.019969435229998e-21
79,2765,1.884436401707759e-21
80,2800,1.7580655216237057e-21
81,2835,1.6402252494622218e-21
82,2870,1.5303292590337497e-21
83,2905,1.4278329839104737e-21
84,2940,1.3322304553451497e-21
85,2975,1.2430514056879126e-21
86,3010,1.1598586002575409e-21
87,3045,1.082245394353391e-21
88,3080,1.0098334854291432e-21
89,3115,9.42270840431581e-22
90,3150,8.79229788585037e-22
91,3185,8.204052673957317e-22
92,3220,7.655131944992233e-22
93,3255,7.142889740121186e-22
94,3290,6.664861098671522e-22
95,3325,6.218749294895462e-22
96,3360,5.802413980880833e-22
97,3395,5.413860243170409e-22
98,3430,5.051228407602216e-22
99,3465,4.712784681608935e-22
100,3500,4.396912435905918e-22
101,3535,4.1021040843844073e-22
102,3570,3.826953585844927e-22
103,3605,3.5701494761670344e-22
104,3640,3.3304684177541453e-22
105,3675,3.1067691128051123e-22
106,3710,2.8979868031234554e-22
107,3745,2.7031279974914053e-22
108,3780,2.521265681866036e-22
109,3815,2.35153478800584e-22
110,3850,2.193128015011668e-22
111,3885,2.045291934072362e-22
112,3920,1.9073233744394296e-22
113,3955,1.7785660163065985e-22
114,3990,1.658407247400226e-22
115,4025,1.5462752597523882e-22
