,time_AU,CFFval
0,0,8.084170028479622e-20
1,35,8.022823978568758e-20
2,70,7.843343462828295e-20
3,105,7.558631146635968e-20
4,140,7.187850336553126e-20
5,175,6.753605256620958e-20
6,210,6.279077806430333e-20
7,245,5.785681665716011e-20
8,280,5.291527002841749e-20
9,315,4.810719541073454e-20
10,350,4.353335477401988e-20
11,385,3.925840488484625e-20
12,420,3.531731413807816e-20
13,455,3.172232632799687e-20
14,490,2.846942023069014e-20
15,525,2.5543745993254802e-20
16,560,2.2923888962472548e-20
17,595,2.058502770384792e-20
18,630,1.8501154357080075e-20
19,665,1.664655390858845e-20
20,700,1.4996727730340454e-20
21,735,1.3528918064652654e-20
22,770,1.222235713291182e-20
23,805,1.1058333921767787e-20
24,840,1.0020145971650319e-20
25,875,9.092983407475732e-21
26,910,8.263777300491466e-21
27,945,7.521033498914757e-21
28,980,6.854665316040782e-21
29,1015,6.255833118203187e-21
30,1050,5.716795286065748e-21
31,1085,5.230772640195746e-21
32,1120,4.7918269503314884e-21
33,1155,4.394753225466353e-21
34,1190,4.0349849519099455e-21
35,1225,3.7085112032981345e-21
36,1260,3.411804419695735e-21
37,1295,3.1417576707282207e-21
38,1330,2.89563025582048e-21
39,1365,2.671000595342233e-21
40,1400,2.4657254603249388e-21
41,1435,2.277904696669224e-21
42,1470,2.1058506948275712e-21
43,1505,1.9480619593431334e-21
44,1540,1.803200208748352e-21
45,1575,1.6700705142304405e-21
46,1610,1.5476040663785976e-21
47,1645,1.4348431889952916e-21
48,1680,1.3309283075423097e-21
49,1715,1.2350865877068337e-21
50,1750,1.1466220244156577e-21
51,1785,1.064906782408258e-21
52,1820,9.893736155330634e-22
53,1855,9.195092230451988e-22
54,1890,8.548484177007095e-22
55,1925,7.949689952379267e-22
56,1960,7.3948722015482255e-22
57,1995,6.880538386061119e-22
58,2030,6.403505580392656e-22
59,2065,5.960869312469238e-22
60,2100,5.549975922549761e-22
61,2135,5.168398042748984e-22
62,2170,4.813912766688904e-22
